source,target,Type,weight
0,101,Undirected,3
0,115,Undirected,3
0,272,Undirected,3
0,336,Undirected,14
0,337,Undirected,3
0,354,Undirected,3
0,381,Undirected,3
0,422,Undirected,4
0,510,Undirected,3
0,726,Undirected,7
0,729,Undirected,6
0,742,Undirected,4
1,110,Undirected,4
1,600,Undirected,5
1,671,Undirected,3
1,751,Undirected,6
2,148,Undirected,13
2,189,Undirected,4
2,290,Undirected,4
2,501,Undirected,3
2,592,Undirected,4
2,667,Undirected,4
2,717,Undirected,3
2,726,Undirected,3
2,745,Undirected,3
3,148,Undirected,11
3,197,Undirected,7
3,218,Undirected,3
3,280,Undirected,14
3,292,Undirected,9
3,358,Undirected,16
3,400,Undirected,10
3,588,Undirected,12
3,593,Undirected,4
3,613,Undirected,11
3,726,Undirected,23
3,729,Undirected,3
3,746,Undirected,3
3,785,Undirected,6
3,792,Undirected,4
4,6,Undirected,6
5,336,Undirected,3
6,21,Undirected,4
6,22,Undirected,7
6,88,Undirected,4
6,119,Undirected,9
6,130,Undirected,33
6,139,Undirected,3
6,150,Undirected,3
6,157,Undirected,5
6,163,Undirected,4
6,174,Undirected,11
6,190,Undirected,3
6,246,Undirected,20
6,259,Undirected,5
6,304,Undirected,3
6,338,Undirected,5
6,345,Undirected,25
6,360,Undirected,110
6,433,Undirected,3
6,439,Undirected,5
6,526,Undirected,3
6,555,Undirected,5
6,602,Undirected,5
6,631,Undirected,99
6,667,Undirected,12
6,782,Undirected,3
7,48,Undirected,6
7,311,Undirected,6
7,696,Undirected,3
7,781,Undirected,4
8,50,Undirected,7
8,56,Undirected,4
8,60,Undirected,17
8,151,Undirected,5
8,186,Undirected,4
8,205,Undirected,4
8,210,Undirected,27
8,252,Undirected,6
8,254,Undirected,10
8,262,Undirected,4
8,463,Undirected,7
8,493,Undirected,11
8,626,Undirected,5
8,696,Undirected,20
8,744,Undirected,20
9,602,Undirected,3
10,46,Undirected,5
10,64,Undirected,4
10,91,Undirected,4
10,95,Undirected,3
10,115,Undirected,3
10,162,Undirected,4
10,189,Undirected,15
10,194,Undirected,3
10,242,Undirected,3
10,336,Undirected,37
10,354,Undirected,6
10,357,Undirected,3
10,527,Undirected,3
10,588,Undirected,14
10,602,Undirected,35
10,623,Undirected,4
10,726,Undirected,9
10,729,Undirected,26
10,746,Undirected,3
11,228,Undirected,3
11,235,Undirected,3
11,273,Undirected,3
11,573,Undirected,4
12,64,Undirected,3
12,70,Undirected,3
12,145,Undirected,4
12,148,Undirected,30
12,183,Undirected,6
12,261,Undirected,5
12,351,Undirected,26
12,366,Undirected,9
12,562,Undirected,3
12,570,Undirected,23
13,96,Undirected,3
13,115,Undirected,3
13,155,Undirected,3
13,726,Undirected,7
14,279,Undirected,3
14,360,Undirected,5
14,575,Undirected,3
15,89,Undirected,7
15,296,Undirected,3
15,355,Undirected,6
15,474,Undirected,3
16,428,Undirected,3
16,442,Undirected,3
17,53,Undirected,4
17,138,Undirected,4
17,160,Undirected,14
17,392,Undirected,3
17,584,Undirected,3
17,640,Undirected,4
17,667,Undirected,9
18,198,Undirected,13
18,442,Undirected,7
18,461,Undirected,16
18,520,Undirected,3
18,633,Undirected,4
19,338,Undirected,3
19,726,Undirected,4
20,160,Undirected,5
20,454,Undirected,5
20,667,Undirected,3
21,39,Undirected,5
21,402,Undirected,7
21,453,Undirected,3
21,479,Undirected,7
21,531,Undirected,8
21,616,Undirected,6
21,631,Undirected,8
22,88,Undirected,3
22,259,Undirected,3
22,279,Undirected,4
22,338,Undirected,13
22,345,Undirected,13
22,354,Undirected,4
22,360,Undirected,63
22,439,Undirected,6
22,555,Undirected,4
22,559,Undirected,4
22,575,Undirected,5
22,631,Undirected,12
22,667,Undirected,3
22,726,Undirected,15
23,189,Undirected,11
23,293,Undirected,6
23,368,Undirected,8
23,602,Undirected,4
23,709,Undirected,3
24,201,Undirected,4
24,357,Undirected,3
25,360,Undirected,13
25,464,Undirected,6
25,653,Undirected,5
26,50,Undirected,18
26,373,Undirected,5
26,667,Undirected,5
27,48,Undirected,6
27,288,Undirected,4
28,336,Undirected,6
28,393,Undirected,10
28,422,Undirected,4
29,48,Undirected,9
29,115,Undirected,4
29,121,Undirected,4
29,185,Undirected,3
29,237,Undirected,3
29,258,Undirected,10
29,314,Undirected,3
29,327,Undirected,4
29,336,Undirected,3
29,354,Undirected,7
29,472,Undirected,5
29,510,Undirected,6
29,542,Undirected,3
29,568,Undirected,5
29,617,Undirected,3
29,632,Undirected,5
29,700,Undirected,5
29,729,Undirected,8
29,740,Undirected,10
29,790,Undirected,5
30,510,Undirected,3
30,564,Undirected,4
31,160,Undirected,4
31,192,Undirected,4
31,239,Undirected,3
32,38,Undirected,10
32,227,Undirected,11
32,499,Undirected,4
32,679,Undirected,8
32,725,Undirected,4
33,48,Undirected,15
33,78,Undirected,4
33,257,Undirected,9
33,293,Undirected,7
33,323,Undirected,3
33,399,Undirected,22
33,632,Undirected,3
33,647,Undirected,6
33,708,Undirected,12
34,73,Undirected,4
34,247,Undirected,6
34,291,Undirected,6
34,310,Undirected,7
34,538,Undirected,10
34,682,Undirected,6
34,789,Undirected,5
35,127,Undirected,5
35,244,Undirected,13
35,564,Undirected,21
35,691,Undirected,4
36,480,Undirected,5
37,38,Undirected,28
37,49,Undirected,11
37,61,Undirected,4
37,106,Undirected,7
37,178,Undirected,44
37,199,Undirected,3
37,499,Undirected,5
37,509,Undirected,13
37,510,Undirected,3
38,49,Undirected,19
38,61,Undirected,5
38,112,Undirected,8
38,178,Undirected,26
38,199,Undirected,3
38,219,Undirected,3
38,227,Undirected,18
38,240,Undirected,11
38,465,Undirected,3
38,487,Undirected,3
38,499,Undirected,16
38,509,Undirected,5
38,510,Undirected,3
38,564,Undirected,8
38,594,Undirected,3
38,679,Undirected,10
38,703,Undirected,3
38,725,Undirected,4
39,402,Undirected,3
39,453,Undirected,3
39,479,Undirected,3
39,531,Undirected,5
39,616,Undirected,4
40,45,Undirected,3
40,50,Undirected,3
40,489,Undirected,4
40,596,Undirected,3
40,667,Undirected,7
41,632,Undirected,3
42,206,Undirected,6
42,285,Undirected,4
42,635,Undirected,4
43,360,Undirected,3
44,70,Undirected,25
44,148,Undirected,29
44,326,Undirected,3
44,350,Undirected,3
44,366,Undirected,13
44,387,Undirected,3
44,469,Undirected,7
44,588,Undirected,7
46,242,Undirected,9
46,406,Undirected,3
46,588,Undirected,3
46,658,Undirected,4
47,574,Undirected,3
48,69,Undirected,3
48,77,Undirected,3
48,78,Undirected,28
48,81,Undirected,10
48,89,Undirected,40
48,92,Undirected,5
48,98,Undirected,10
48,101,Undirected,4
48,110,Undirected,8
48,115,Undirected,25
48,121,Undirected,8
48,157,Undirected,5
48,161,Undirected,8
48,165,Undirected,3
48,172,Undirected,4
48,185,Undirected,6
48,189,Undirected,46
48,200,Undirected,4
48,237,Undirected,82
48,257,Undirected,9
48,258,Undirected,10
48,288,Undirected,3
48,290,Undirected,7
48,293,Undirected,17
48,314,Undirected,76
48,327,Undirected,8
48,336,Undirected,13
48,339,Undirected,25
48,348,Undirected,14
48,354,Undirected,53
48,360,Undirected,71
48,368,Undirected,12
48,384,Undirected,17
48,386,Undirected,3
48,399,Undirected,24
48,409,Undirected,31
48,429,Undirected,4
48,439,Undirected,3
48,464,Undirected,4
48,466,Undirected,9
48,472,Undirected,7
48,484,Undirected,39
48,495,Undirected,24
48,499,Undirected,13
48,501,Undirected,17
48,532,Undirected,4
48,538,Undirected,3
48,542,Undirected,14
48,547,Undirected,3
48,568,Undirected,10
48,573,Undirected,5
48,577,Undirected,7
48,598,Undirected,20
48,600,Undirected,44
48,602,Undirected,17
48,607,Undirected,3
48,617,Undirected,21
48,619,Undirected,13
48,632,Undirected,58
48,633,Undirected,155
48,683,Undirected,29
48,686,Undirected,4
48,692,Undirected,5
48,696,Undirected,7
48,699,Undirected,21
48,700,Undirected,5
48,708,Undirected,24
48,709,Undirected,6
48,710,Undirected,5
48,726,Undirected,11
48,729,Undirected,13
48,732,Undirected,6
48,740,Undirected,6
48,743,Undirected,4
48,749,Undirected,20
48,759,Undirected,10
48,761,Undirected,15
48,775,Undirected,3
48,790,Undirected,32
48,791,Undirected,6
49,115,Undirected,3
49,178,Undirected,3
49,227,Undirected,3
49,240,Undirected,6
49,354,Undirected,6
49,499,Undirected,22
49,633,Undirected,3
50,60,Undirected,15
50,123,Undirected,4
50,151,Undirected,5
50,210,Undirected,23
50,224,Undirected,8
50,249,Undirected,3
50,264,Undirected,3
50,274,Undirected,3
50,373,Undirected,15
50,556,Undirected,8
50,582,Undirected,3
50,602,Undirected,4
50,608,Undirected,7
50,611,Undirected,3
50,667,Undirected,16
50,678,Undirected,3
50,696,Undirected,48
50,714,Undirected,3
50,720,Undirected,16
50,724,Undirected,3
50,744,Undirected,10
50,764,Undirected,3
51,197,Undirected,3
52,115,Undirected,9
52,272,Undirected,3
52,295,Undirected,5
52,411,Undirected,3
52,442,Undirected,5
52,516,Undirected,3
52,535,Undirected,3
52,667,Undirected,3
52,710,Undirected,3
53,160,Undirected,21
53,360,Undirected,4
53,392,Undirected,5
53,464,Undirected,9
53,544,Undirected,5
53,629,Undirected,3
53,640,Undirected,19
53,648,Undirected,3
53,667,Undirected,25
54,667,Undirected,6
55,788,Undirected,5
56,60,Undirected,3
56,210,Undirected,4
56,744,Undirected,4
57,115,Undirected,8
57,633,Undirected,3
57,726,Undirected,3
58,220,Undirected,4
58,541,Undirected,3
58,726,Undirected,16
59,96,Undirected,7
59,115,Undirected,7
59,213,Undirected,10
60,110,Undirected,3
60,151,Undirected,3
60,189,Undirected,7
60,210,Undirected,23
60,600,Undirected,11
60,602,Undirected,8
60,667,Undirected,8
60,696,Undirected,30
60,729,Undirected,4
60,744,Undirected,17
61,87,Undirected,3
61,178,Undirected,11
61,240,Undirected,3
61,258,Undirected,3
61,336,Undirected,8
61,354,Undirected,11
61,411,Undirected,10
61,440,Undirected,3
61,472,Undirected,3
61,499,Undirected,4
61,519,Undirected,7
61,584,Undirected,3
61,632,Undirected,3
61,726,Undirected,15
62,187,Undirected,5
62,631,Undirected,11
63,348,Undirected,5
63,573,Undirected,5
63,610,Undirected,4
63,617,Undirected,3
63,667,Undirected,3
63,696,Undirected,17
64,70,Undirected,14
64,72,Undirected,4
64,84,Undirected,3
64,87,Undirected,3
64,115,Undirected,17
64,145,Undirected,18
64,148,Undirected,83
64,189,Undirected,28
64,223,Undirected,5
64,242,Undirected,5
64,244,Undirected,4
64,256,Undirected,3
64,261,Undirected,6
64,266,Undirected,8
64,303,Undirected,42
64,336,Undirected,8
64,351,Undirected,3
64,354,Undirected,13
64,357,Undirected,4
64,366,Undirected,5
64,383,Undirected,8
64,396,Undirected,3
64,472,Undirected,3
64,477,Undirected,8
64,538,Undirected,7
64,552,Undirected,8
64,564,Undirected,22
64,584,Undirected,13
64,586,Undirected,7
64,588,Undirected,3
64,602,Undirected,51
64,632,Undirected,3
64,633,Undirected,3
64,655,Undirected,21
64,668,Undirected,3
64,726,Undirected,3
64,742,Undirected,15
64,766,Undirected,3
64,783,Undirected,3
65,148,Undirected,4
66,160,Undirected,4
67,140,Undirected,4
67,187,Undirected,3
67,190,Undirected,4
67,259,Undirected,4
67,631,Undirected,3
68,250,Undirected,7
68,303,Undirected,3
68,329,Undirected,3
68,663,Undirected,5
70,72,Undirected,4
70,148,Undirected,46
70,303,Undirected,11
70,326,Undirected,8
70,350,Undirected,3
70,351,Undirected,3
70,366,Undirected,22
70,528,Undirected,8
70,564,Undirected,3
70,655,Undirected,3
71,573,Undirected,5
71,696,Undirected,4
72,145,Undirected,13
72,148,Undirected,24
72,303,Undirected,3
72,376,Undirected,3
72,536,Undirected,3
72,723,Undirected,5
72,726,Undirected,4
73,247,Undirected,3
73,310,Undirected,5
73,538,Undirected,5
73,682,Undirected,4
74,148,Undirected,3
74,280,Undirected,4
74,482,Undirected,4
74,726,Undirected,7
75,503,Undirected,3
75,640,Undirected,4
76,297,Undirected,3
76,403,Undirected,3
76,674,Undirected,3
76,696,Undirected,7
77,89,Undirected,9
77,115,Undirected,3
77,341,Undirected,3
77,345,Undirected,17
77,360,Undirected,48
77,419,Undirected,7
77,439,Undirected,3
77,600,Undirected,7
77,602,Undirected,6
77,696,Undirected,4
77,726,Undirected,8
77,758,Undirected,3
77,790,Undirected,4
78,110,Undirected,3
78,189,Undirected,3
78,237,Undirected,4
78,258,Undirected,9
78,293,Undirected,7
78,332,Undirected,4
78,336,Undirected,7
78,354,Undirected,3
78,399,Undirected,14
78,411,Undirected,5
78,445,Undirected,5
78,602,Undirected,5
78,632,Undirected,18
78,633,Undirected,4
78,699,Undirected,39
78,708,Undirected,4
79,89,Undirected,4
79,607,Undirected,4
79,696,Undirected,3
80,360,Undirected,3
80,788,Undirected,3
81,95,Undirected,5
81,339,Undirected,12
81,619,Undirected,17
81,790,Undirected,3
82,218,Undirected,3
83,345,Undirected,3
84,148,Undirected,3
84,303,Undirected,5
84,691,Undirected,3
85,115,Undirected,7
85,391,Undirected,3
85,442,Undirected,6
85,567,Undirected,4
85,687,Undirected,3
86,336,Undirected,4
87,115,Undirected,23
87,272,Undirected,5
87,336,Undirected,9
87,354,Undirected,14
87,411,Undirected,5
87,472,Undirected,31
87,519,Undirected,8
87,520,Undirected,3
87,633,Undirected,14
87,688,Undirected,3
87,710,Undirected,14
87,726,Undirected,14
88,114,Undirected,8
88,139,Undirected,3
88,163,Undirected,5
88,174,Undirected,4
88,190,Undirected,12
88,304,Undirected,3
88,338,Undirected,10
88,345,Undirected,16
88,360,Undirected,60
88,439,Undirected,5
88,523,Undirected,28
88,631,Undirected,10
88,635,Undirected,3
88,667,Undirected,3
88,715,Undirected,5
88,765,Undirected,5
89,100,Undirected,14
89,110,Undirected,24
89,115,Undirected,6
89,117,Undirected,3
89,128,Undirected,5
89,132,Undirected,10
89,175,Undirected,5
89,189,Undirected,34
89,281,Undirected,3
89,282,Undirected,3
89,296,Undirected,6
89,306,Undirected,209
89,317,Undirected,3
89,321,Undirected,3
89,345,Undirected,4
89,354,Undirected,6
89,355,Undirected,112
89,357,Undirected,7
89,360,Undirected,90
89,361,Undirected,3
89,368,Undirected,11
89,369,Undirected,4
89,397,Undirected,5
89,419,Undirected,116
89,460,Undirected,123
89,474,Undirected,11
89,501,Undirected,38
89,518,Undirected,42
89,538,Undirected,3
89,546,Undirected,3
89,573,Undirected,7
89,583,Undirected,3
89,584,Undirected,3
89,596,Undirected,4
89,597,Undirected,4
89,598,Undirected,129
89,600,Undirected,169
89,602,Undirected,11
89,607,Undirected,40
89,631,Undirected,11
89,633,Undirected,25
89,666,Undirected,3
89,672,Undirected,4
89,696,Undirected,64
89,710,Undirected,8
89,726,Undirected,31
89,752,Undirected,5
89,753,Undirected,12
89,781,Undirected,6
89,790,Undirected,3
90,360,Undirected,3
90,713,Undirected,3
91,189,Undirected,19
91,421,Undirected,4
91,538,Undirected,14
91,597,Undirected,3
91,598,Undirected,3
91,600,Undirected,3
91,602,Undirected,5
92,98,Undirected,6
92,686,Undirected,4
93,633,Undirected,8
93,644,Undirected,4
94,110,Undirected,3
95,110,Undirected,53
95,115,Undirected,8
95,122,Undirected,4
95,126,Undirected,12
95,141,Undirected,8
95,168,Undirected,21
95,177,Undirected,7
95,191,Undirected,3
95,195,Undirected,4
95,200,Undirected,6
95,203,Undirected,8
95,237,Undirected,6
95,324,Undirected,17
95,325,Undirected,8
95,336,Undirected,111
95,347,Undirected,4
95,354,Undirected,4
95,411,Undirected,6
95,426,Undirected,3
95,467,Undirected,17
95,502,Undirected,6
95,541,Undirected,36
95,553,Undirected,4
95,567,Undirected,3
95,574,Undirected,8
95,584,Undirected,37
95,599,Undirected,3
95,600,Undirected,5
95,602,Undirected,3
95,617,Undirected,11
95,632,Undirected,12
95,633,Undirected,24
95,639,Undirected,4
95,646,Undirected,9
95,667,Undirected,5
95,701,Undirected,5
95,710,Undirected,3
95,726,Undirected,7
95,729,Undirected,3
95,740,Undirected,4
95,748,Undirected,3
95,756,Undirected,3
95,773,Undirected,5
96,110,Undirected,6
96,115,Undirected,23
96,120,Undirected,8
96,213,Undirected,3
96,258,Undirected,4
96,330,Undirected,7
96,354,Undirected,12
96,408,Undirected,7
96,440,Undirected,8
96,444,Undirected,4
96,510,Undirected,4
96,541,Undirected,20
96,607,Undirected,4
96,644,Undirected,3
96,645,Undirected,3
96,667,Undirected,3
96,702,Undirected,5
96,710,Undirected,7
96,726,Undirected,137
96,729,Undirected,7
96,739,Undirected,11
96,742,Undirected,12
96,772,Undirected,5
97,437,Undirected,6
97,503,Undirected,4
97,640,Undirected,5
99,138,Undirected,3
99,196,Undirected,3
99,270,Undirected,5
99,584,Undirected,7
99,667,Undirected,3
100,460,Undirected,3
101,110,Undirected,29
101,159,Undirected,3
101,191,Undirected,24
101,193,Undirected,3
101,204,Undirected,7
101,313,Undirected,5
101,336,Undirected,29
101,422,Undirected,4
101,426,Undirected,10
101,504,Undirected,3
101,596,Undirected,4
101,600,Undirected,27
101,628,Undirected,3
101,696,Undirected,6
101,726,Undirected,4
101,729,Undirected,10
101,751,Undirected,7
102,738,Undirected,5
103,513,Undirected,4
103,633,Undirected,6
104,140,Undirected,3
105,244,Undirected,3
105,417,Undirected,3
105,468,Undirected,7
105,564,Undirected,7
105,691,Undirected,4
106,178,Undirected,11
106,258,Undirected,4
106,509,Undirected,5
107,663,Undirected,3
108,696,Undirected,4
109,696,Undirected,3
110,115,Undirected,30
110,126,Undirected,9
110,133,Undirected,3
110,134,Undirected,6
110,146,Undirected,5
110,166,Undirected,9
110,176,Undirected,3
110,189,Undirected,88
110,191,Undirected,42
110,200,Undirected,5
110,207,Undirected,3
110,282,Undirected,16
110,313,Undirected,27
110,324,Undirected,3
110,336,Undirected,59
110,344,Undirected,5
110,349,Undirected,13
110,354,Undirected,11
110,357,Undirected,11
110,360,Undirected,14
110,361,Undirected,14
110,411,Undirected,6
110,414,Undirected,3
110,419,Undirected,14
110,426,Undirected,55
110,431,Undirected,6
110,442,Undirected,4
110,444,Undirected,6
110,449,Undirected,3
110,455,Undirected,5
110,456,Undirected,3
110,485,Undirected,3
110,494,Undirected,9
110,496,Undirected,3
110,504,Undirected,3
110,538,Undirected,31
110,574,Undirected,6
110,580,Undirected,5
110,584,Undirected,55
110,596,Undirected,12
110,598,Undirected,6
110,599,Undirected,7
110,600,Undirected,128
110,601,Undirected,3
110,602,Undirected,27
110,606,Undirected,3
110,607,Undirected,28
110,617,Undirected,10
110,622,Undirected,7
110,628,Undirected,6
110,633,Undirected,32
110,666,Undirected,3
110,667,Undirected,24
110,671,Undirected,5
110,689,Undirected,8
110,696,Undirected,14
110,726,Undirected,69
110,728,Undirected,4
110,729,Undirected,21
110,736,Undirected,3
110,739,Undirected,5
110,742,Undirected,10
110,748,Undirected,13
110,751,Undirected,38
110,762,Undirected,10
110,772,Undirected,5
111,189,Undirected,7
111,584,Undirected,3
111,709,Undirected,6
112,227,Undirected,5
113,541,Undirected,3
114,130,Undirected,3
114,360,Undirected,3
114,523,Undirected,8
115,121,Undirected,3
115,126,Undirected,6
115,148,Undirected,3
115,178,Undirected,3
115,179,Undirected,18
115,185,Undirected,16
115,189,Undirected,91
115,197,Undirected,4
115,199,Undirected,4
115,213,Undirected,14
115,229,Undirected,3
115,233,Undirected,3
115,258,Undirected,21
115,272,Undirected,24
115,295,Undirected,4
115,301,Undirected,3
115,302,Undirected,35
115,327,Undirected,34
115,330,Undirected,4
115,336,Undirected,130
115,337,Undirected,3
115,338,Undirected,13
115,353,Undirected,13
115,354,Undirected,173
115,357,Undirected,7
115,360,Undirected,7
115,368,Undirected,5
115,381,Undirected,24
115,393,Undirected,38
115,411,Undirected,24
115,426,Undirected,9
115,428,Undirected,26
115,432,Undirected,3
115,435,Undirected,5
115,440,Undirected,4
115,442,Undirected,79
115,446,Undirected,3
115,462,Undirected,5
115,472,Undirected,46
115,478,Undirected,4
115,481,Undirected,5
115,484,Undirected,3
115,499,Undirected,19
115,510,Undirected,9
115,513,Undirected,11
115,516,Undirected,9
115,517,Undirected,15
115,519,Undirected,37
115,520,Undirected,30
115,538,Undirected,27
115,542,Undirected,9
115,549,Undirected,3
115,552,Undirected,34
115,567,Undirected,30
115,568,Undirected,16
115,581,Undirected,3
115,584,Undirected,12
115,588,Undirected,8
115,600,Undirected,15
115,602,Undirected,134
115,603,Undirected,4
115,632,Undirected,19
115,633,Undirected,95
115,638,Undirected,5
115,641,Undirected,9
115,644,Undirected,9
115,667,Undirected,42
115,684,Undirected,46
115,687,Undirected,4
115,688,Undirected,3
115,700,Undirected,11
115,710,Undirected,111
115,726,Undirected,209
115,729,Undirected,57
115,733,Undirected,13
115,742,Undirected,53
115,743,Undirected,4
115,747,Undirected,3
115,751,Undirected,5
115,769,Undirected,5
116,726,Undirected,10
117,474,Undirected,4
118,644,Undirected,4
118,726,Undirected,8
118,742,Undirected,4
119,345,Undirected,6
119,360,Undirected,9
119,395,Undirected,9
119,559,Undirected,3
119,631,Undirected,10
119,657,Undirected,8
120,726,Undirected,5
120,772,Undirected,3
