Source,Target,Action_code,Rel_code,Chapter,Page
3,1,1,1,1,3
1,2,1,1,1,3
17,4,1,1,1,3
4,5,1,1,1,3
4,6,1,1,1,3
17,6,1,1,1,3
6,7,1,1,1,3
7,8,1,1,1,3
8,9,1,1,1,3
9,10,1,1,1,3
9,11,1,1,1,3
11,12,1,1,1,3
12,13,1,1,1,3
7,14,1,1,1,3
14,15,1,1,1,3
15,16,1,1,1,3
19,17,1,1,1,3
17,18,1,1,1,3
19,20,1,1,1,4
21,20,1,1,1,4
19,22,1,1,1,4
23,22,1,1,1,4
19,24,1,1,1,4
4,17,7,1,2,4
4,1,12,3,2,5
17,1,12,3,2,5
17,3,13,2,2,5
27,18,1,1,2,5
17,25,7,3,2,5
25,26,1,1,2,5
17,4,4,1,2,6
17,4,8,1,2,6
28,17,1,1,2,6
27,17,7,1,2,6
28,17,9,1,2,6
29,30,1,1,3,6
30,31,1,1,3,6
29,32,1,1,3,6
32,33,1,1,3,6
27,17,12,1,3,7
32,17,18,3,3,7
32,17,4,3,3,7
32,17,8,3,3,7
35,17,12,6,3,7
32,27,18,3,3,7
32,27,8,3,3,7
35,27,12,6,3,7
32,35,12,6,3,7
35,17,7,3,3,8
17,29,12,3,3,8
17,29,4,3,3,8
17,29,3,3,3,8
29,32,12,1,3,8
17,32,3,3,3,9
17,32,8,3,3,9
32,17,4,3,4,9
17,29,12,3,4,9
17,32,12,3,4,9
29,17,4,3,4,10
17,36,12,3,5,10
17,37,12,5,5,10
37,38,1,1,5,10
39,40,2,7,5,10
41,17,5,5,5,11
37,17,5,5,5,11
34,35,12,5,5,11
37,36,6,5,5,11
17,37,6,5,5,11
17,41,6,5,5,11
32,17,7,3,5,12
17,29,8,3,5,12
42,32,1,1,5,12
35,32,7,3,5,12
17,32,8,3,5,12
42,34,6,5,5,12
17,29,12,3,6,12
17,32,12,3,6,12
17,3,2,2,6,13
17,4,12,1,6,13
29,17,8,3,6,13
32,17,8,3,6,13
32,17,17,3,6,13
3,1,12,1,6,14
17,3,12,2,6,14
1,4,12,3,6,14
1,17,12,2,6,14
3,1,12,1,7,15
43,27,1,1,7,15
3,43,12,2,7,15
3,1,7,1,7,16
3,1,4,1,7,16
17,1,20,2,8,17
1,17,14,2,8,17
1,44,4,3,8,17
1,44,12,3,8,17
19,45,2,7,9,18
46,4,12,3,9,19
47,4,12,3,9,19
46,19,13,6,9,19
46,47,1,1,9,19
46,47,12,1,9,19
19,4,12,1,10,19
19,4,7,1,10,19
4,17,12,1,10,20
4,17,18,1,10,20
48,19,1,1,10,20
19,25,12,7,10,20
19,25,4,7,10,20
25,48,3,3,10,20
19,48,18,22,10,20
25,19,2,2,10,21
25,19,12,22,10,21
25,48,12,22,10,21
46,19,12,22,11,21
46,19,5,22,11,21
46,47,12,22,11,21
46,25,5,5,11,22
19,25,12,22,11,22
19,25,4,22,11,22
25,46,15,5,11,22
25,46,17,5,11,22
25,46,6,5,11,22
19,4,12,22,12,23
49,19,1,6,12,23
25,19,7,22,12,23
19,25,12,22,12,23
19,25,4,22,12,23
48,25,4,22,12,23
48,25,12,22,12,23
19,625,8,3,12,23
48,25,12,3,12,24
48,25,7,3,12,24
48,25,4,3,12,24
626,47,12,3,12,24
626,47,7,3,12,24
47,4,12,22,12,25
47,4,14,22,12,25
47,17,12,22,12,25
17,47,8,3,12,26
50,51,1,1,13,26
50,52,1,1,13,26
50,52,12,1,13,26
50,53,1,1,13,26
51,53,1,1,13,26
52,53,1,1,13,26
17,4,12,22,13,27
17,50,12,22,13,27
4,50,12,22,13,27
17,52,12,22,13,27
4,52,12,22,13,27
19,4,12,22,13,28
19,17,12,22,13,28
17,50,7,3,13,28
19,50,12,22,13,28
17,52,7,3,13,28
19,52,12,22,13,28
19,52,13,22,13,28
56,52,1,1,14,29
19,52,2,2,14,29
52,55,1,1,14,29
57,55,1,6,14,29
25,19,12,3,15,30
25,19,4,22,15,30
19,52,12,22,15,30
19,52,4,22,15,30
25,627,5,5,15,30
52,19,12,22,16,31
52,19,5,22,16,31
52,25,12,22,16,31
52,25,4,22,16,31
19,25,12,22,16,31
25,19,12,22,17,32
25,19,7,22,17,32
25,19,4,22,17,32
52,25,15,22,17,32
52,25,5,22,17,32
25,52,15,22,17,32
25,52,17,22,17,32
25,52,6,22,17,32
17,4,12,22,17,33
17,4,7,22,17,33
50,4,12,22,17,33
25,17,12,22,17,33
25,17,7,22,17,33
25,17,5,22,17,33
50,17,12,22,17,33
17,25,5,22,17,33
17,25,6,22,17,33
4,50,8,3,17,34
17,50,8,3,17,34
3,1,9,1,18,34
60,2,1,1,19,34
64,54,1,1,19,34
58,59,1,1,19,34
59,60,1,1,19,34
58,61,1,1,19,34
61,62,1,1,19,34
61,63,1,1,19,34
63,64,1,1,19,34
65,64,1,1,19,34
66,58,1,1,19,35
67,58,1,1,19,35
68,58,1,1,19,35
69,58,1,1,19,35
73,69,1,1,19,35
73,70,1,1,19,35
69,70,2,2,19,35
70,71,1,1,19,35
71,72,1,1,19,35
74,75,1,1,20,35
75,76,1,1,20,35
74,77,1,1,20,35
79,77,1,1,20,35
77,78,1,1,20,35
80,79,1,1,20,35
81,79,1,1,20,35
82,79,1,1,20,35
74,83,2,2,20,35
83,84,1,1,20,35
58,3,4,22,21,36
3,58,12,22,21,36
58,74,4,3,21,36
58,74,12,22,21,36
629,58,15,5,23,39
628,629,12,22,23,39
628,629,16,22,23,39
58,17,12,22,23,40
58,17,14,22,23,40
630,58,14,6,23,40
58,630,5,5,23,40
17,4,7,22,23,41
4,17,12,22,23,41
4,17,7,22,23,41
58,74,12,22,23,41
58,17,14,22,24,41
58,631,14,4,24,41
17,4,12,22,24,42
58,17,20,5,24,42
58,17,12,22,24,42
17,58,12,22,24,42
17,58,14,22,24,42
58,74,12,3,24,42
58,3,12,3,24,43
103,3,1,1,25,43
85,44,1,1,25,43
103,58,,5,25,43
104,74,1,1,25,43
103,85,1,1,25,43
3,85,2,2,25,43
44,86,1,1,25,43
86,87,1,1,25,43
87,88,1,1,25,43
88,89,1,1,25,43
89,90,1,1,25,43
90,91,1,1,25,43
91,92,1,1,25,43
92,93,1,1,25,43
92,94,1,1,25,43
94,95,1,1,25,43
95,96,1,1,25,43
85,97,1,1,25,43
98,97,1,1,25,43
99,98,1,1,25,43
100,99,1,1,25,43
101,100,1,1,25,43
85,102,1,6,25,43
105,74,1,1,25,44
106,74,1,1,25,44
107,74,1,1,25,44
104,83,1,1,25,44
105,83,1,1,25,44
106,83,1,1,25,44
107,108,1,1,25,44
108,109,1,1,25,44
110,109,1,1,25,44
108,110,1,1,25,44
104,111,2,2,25,44
111,112,1,1,25,44
105,113,2,2,25,44
123,16,1,1,26,44
127,114,1,1,26,44
129,114,2,7,26,44
114,115,1,1,26,44
115,116,1,1,26,44
116,117,1,1,26,44
114,118,1,1,26,44
118,119,1,1,26,44
119,120,1,1,26,44
119,121,1,1,26,44
121,122,1,1,26,44
122,123,1,1,26,44
118,124,1,1,26,44
124,125,1,1,26,44
125,126,1,1,26,44
128,127,1,1,26,44
100,128,1,1,26,44
116,129,6,5,26,44
116,129,2,7,26,44
74,106,12,22,26,45
130,114,1,1,26,45
131,114,1,1,26,45
132,114,1,1,26,45
133,114,1,1,26,45
130,74,2,7,27,45
133,106,2,2,27,45
133,106,13,3,27,45
74,116,12,3,27,45
106,116,12,3,27,45
134,58,12,3,28,45
58,74,12,3,28,45
134,58,7,22,28,46
58,74,4,3,28,46
58,134,12,3,28,46
58,134,4,22,28,46
141,31,1,1,29,46
134,58,12,22,29,46
135,136,1,1,29,46
136,137,1,1,29,46
137,138,1,1,29,46
135,139,1,1,29,46
139,140,1,1,29,46
139,141,1,1,29,46
134,142,1,6,29,46
142,58,8,3,29,47
142,58,4,22,29,47
142,134,7,22,29,47
134,142,12,1,29,47
58,142,12,3,29,47
143,144,1,1,29,47
143,145,1,1,29,47
144,145,1,1,29,47
142,58,8,3,30,48
144,58,5,5,30,48
143,58,5,5,30,48
58,66,12,1,30,48
58,143,6,5,30,48
66,144,6,5,30,48
58,632,6,5,30,48
58,633,6,4,30,48
146,58,7,3,30,49
146,58,4,3,30,49
147,58,5,5,30,49
58,146,8,3,30,49
58,146,12,22,30,49
58,147,6,5,30,49
147,148,1,1,30,49
66,148,5,5,30,49
146,58,12,3,30,50
146,58,4,3,30,50
58,148,6,5,30,50
149,58,18,3,31,50
149,58,8,3,31,51
135,58,18,3,31,51
135,58,8,3,31,51
58,134,12,3,31,51
150,135,1,6,31,51
58,142,8,3,31,51
58,149,8,3,31,51
135,58,7,3,32,51
135,58,4,3,32,51
58,135,12,3,32,51
74,58,7,3,32,52
58,66,12,22,32,52
58,74,12,3,32,52
58,74,8,3,32,52
58,4,12,22,33,53
58,17,12,22,33,53
58,19,12,22,33,53
58,19,7,22,33,53
58,19,13,22,33,53
74,58,7,22,33,54
58,74,12,22,33,54
58,74,18,22,33,54
151,60,1,1,34,54
58,151,18,22,34,54
151,152,2,2,34,54
153,60,1,1,34,55
155,60,1,1,34,55
156,60,1,1,34,55
157,60,1,1,34,55
158,60,1,1,34,55
159,60,1,1,34,55
154,74,1,1,34,55
161,74,1,1,34,55
154,83,1,1,34,55
161,83,1,1,34,55
58,85,18,22,34,55
160,97,1,1,34,55
58,97,18,22,34,55
58,103,18,22,34,55
58,153,18,22,34,55
153,154,2,2,34,55
58,155,18,22,34,55
58,156,18,22,34,55
58,157,18,22,34,55
58,158,18,22,34,55
58,159,18,22,34,55
58,160,18,22,34,55
151,4,12,22,34,56
74,4,12,22,34,56
4,17,12,22,34,56
58,19,12,22,34,56
151,19,12,22,34,56
58,56,12,22,34,56
151,56,12,22,34,56
151,56,13,22,34,56
4,58,12,22,34,56
58,74,12,22,34,56
152,151,12,22,34,56
152,151,15,22,34,56
151,152,15,22,34,56
151,56,2,2,34,57
83,19,12,22,35,57
83,19,15,22,35,57
74,58,18,22,35,57
19,58,12,22,35,57
19,74,15,22,35,57
19,83,15,22,35,57
19,83,17,22,35,57
19,83,17,22,35,57
58,19,12,22,36,58
634,19,12,22,36,58
634,19,7,22,36,58
59,19,12,22,36,58
19,58,15,22,36,58
19,163,12,22,36,58
83,164,12,22,36,58
19,164,17,22,36,58
163,19,12,22,36,59
163,19,7,22,36,59
635,58,12,22,36,59
635,58,7,22,36,59
58,74,12,22,36,59
58,74,7,22,36,59
19,163,15,22,36,59
163,164,6,5,36,59
58,19,12,22,36,60
83,74,12,22,36,60
83,165,12,22,36,60
83,74,7,22,36,61
104,74,12,22,36,61
104,74,7,22,36,61
165,83,3,3,36,61
74,83,12,22,36,61
165,83,12,22,37,61
636,165,12,22,37,61
636,165,7,22,37,61
638,58,12,22,37,62
638,58,7,22,37,62
58,74,7,22,37,62
165,83,12,22,37,62
165,83,7,22,37,62
165,163,12,5,37,62
165,163,6,5,37,62
163,165,15,5,37,62
19,165,17,5,37,62
165,637,12,22,37,62
165,637,7,22,37,62
58,19,12,22,37,63
74,58,12,3,37,63
104,74,12,22,37,63
74,83,12,22,37,63
165,74,3,3,38,63
74,165,12,22,38,63
166,19,1,6,38,64
83,165,12,22,38,64
58,166,12,22,38,64
19,166,12,22,38,64
19,166,7,22,38,64
19,166,15,22,38,64
166,19,12,22,38,65
166,19,7,22,38,65
66,58,12,1,38,65
640,58,12,6,38,65
640,58,7,6,38,65
58,74,12,3,38,65
639,83,12,6,38,65
639,83,7,6,38,65
58,104,12,3,38,65
166,165,6,5,38,65
165,166,5,5,38,65
165,166,12,5,38,65
165,166,17,5,38,65
19,58,12,22,38,66
19,58,15,22,38,66
83,74,12,2,38,66
167,19,12,6,39,66
169,74,1,6,39,66
83,167,12,6,39,66
167,168,1,1,39,66
59,19,12,2,39,67
641,19,12,6,39,67
641,19,7,22,39,67
167,166,17,5,39,67
167,166,12,5,39,67
167,166,17,5,39,67
167,166,6,5,39,67
19,167,15,5,39,67
166,167,5,5,39,67
19,167,7,6,39,67
104,58,12,22,40,67
104,74,12,22,40,67
74,58,12,22,40,68
171,2,1,1,41,68
58,170,1,1,41,68
19,170,3,3,41,68
58,170,12,22,41,68
170,171,1,1,41,68
19,58,12,22,41,69
58,66,12,22,41,69
66,74,12,3,41,69
66,74,4,3,41,69
19,151,12,2,41,69
19,151,12,22,41,69
74,167,12,22,41,69
19,170,12,22,41,69
19,172,12,22,41,69
74,83,12,22,41,70
74,167,12,22,41,70
83,167,12,22,41,70
642,19,12,6,42,70
642,19,7,22,42,70
19,151,12,22,42,70
19,151,7,22,42,70
19,151,12,22,42,70
19,151,7,22,42,70
170,151,12,22,42,70
19,170,12,22,42,70
19,170,7,22,42,70
19,170,12,22,42,70
19,170,7,22,42,70
19,172,12,22,42,70
19,172,7,22,42,70
19,172,12,22,42,70
19,172,7,22,42,70
83,19,17,5,42,71
151,19,12,22,42,71
170,19,12,22,42,71
172,19,12,22,42,71
170,167,12,5,42,71
170,167,17,5,42,71
170,167,5,5,42,71
172,167,5,5,42,71
170,167,6,5,42,71
167,170,5,5,42,71
59,170,12,6,42,71
151,170,12,22,42,71
167,172,5,5,42,71
151,172,12,22,42,71
644,58,12,6,43,71
58,74,12,3,43,71
58,74,7,3,43,72
74,104,12,22,43,72
74,104,7,22,43,72
645,19,12,6,44,73
645,19,7,6,44,73
58,170,12,22,44,73
19,74,15,5,44,74
170,74,15,5,44,74
83,74,12,22,44,74
83,74,7,22,44,74
645,83,12,6,44,74
645,83,7,22,44,74
19,104,15,5,44,74
170,104,15,5,44,74
83,104,12,22,44,74
83,104,7,22,44,74
19,105,15,5,44,74
170,105,15,5,44,74
83,105,12,22,44,74
83,105,7,22,44,74
19,106,15,5,44,74
170,106,15,5,44,74
83,106,12,22,44,74
83,106,7,22,44,74
19,107,15,5,44,74
170,107,15,5,44,74
83,107,12,22,44,74
83,107,7,22,44,74
19,170,12,22,44,74
58,170,12,22,44,74
83,74,7,22,44,75
74,83,12,22,44,75
74,83,12,22,44,75
74,104,12,22,44,75
74,105,12,22,44,75
74,106,12,22,44,75
74,107,12,22,44,75
170,104,5,5,45,76
172,105,5,5,45,76
172,106,5,5,45,76
104,107,12,22,45,76
104,170,12,5,45,76
104,170,17,5,45,76
104,170,5,5,45,76
646,19,12,6,45,77
646,19,7,6,45,77
19,58,12,22,45,77
19,58,7,22,45,77
104,74,12,22,45,77
105,74,12,22,45,77
106,74,12,22,45,77
104,74,7,22,45,77
105,74,7,22,45,77
106,74,7,22,45,77
104,170,12,5,45,77
104,170,6,5,45,77
105,172,5,5,45,77
106,172,6,5,45,77
104,646,12,6,45,77
104,647,12,6,45,77
105,647,12,6,45,77
106,647,12,6,45,77
104,647,7,6,45,77
105,647,7,6,45,77
106,647,7,6,45,77
58,74,12,3,45,78
58,74,4,22,45,78
173,119,1,1,46,78
176,120,1,1,46,78
173,124,1,1,46,78
174,173,1,1,46,78
175,176,1,1,46,78
103,58,,5,46,79
175,173,3,3,46,79
179,120,1,1,47,79
185,177,1,1,47,79
187,177,1,1,47,79
188,177,1,1,47,79
189,177,3,3,47,79
177,178,1,1,47,79
177,178,1,1,47,79
188,178,1,1,47,79
178,179,1,1,47,79
179,180,6,5,47,79
177,181,2,2,47,79
181,182,1,1,47,79
182,183,1,1,47,79
183,184,1,1,47,79
177,186,3,3,47,79
188,187,1,1,47,79
177,189,8,3,47,79
74,58,12,3,47,80
74,58,8,3,47,80
74,58,4,3,47,80
74,83,12,22,47,80
58,151,12,3,47,80
58,151,4,3,47,80
186,151,15,5,47,80
190,159,1,1,47,80
151,177,17,5,47,80
58,177,12,6,47,80
58,177,4,6,47,80
58,190,12,3,47,80
58,190,4,3,47,80
189,177,5,5,48,81
649,177,12,6,48,81
649,177,7,6,48,81
19,189,12,6,48,81
19,189,17,6,48,81
58,648,19,3,48,81
58,19,12,2,48,82
58,19,15,2,48,82
58,19,5,2,48,82
19,58,17,2,48,82
177,103,12,3,49,82
186,103,12,3,49,82
186,177,12,3,49,82
177,186,7,3,49,82
66,58,12,1,49,83
66,58,7,1,49,83
177,103,4,3,49,83
186,103,4,3,49,83
650,103,12,6,49,83
650,103,7,6,49,83
103,177,12,3,49,83
103,177,7,3,49,83
58,151,4,22,49,84
58,151,12,22,49,84
58,177,12,6,49,84
58,186,12,6,49,84
58,187,12,6,49,84
58,188,12,6,49,84
58,190,4,22,49,84
58,190,12,22,49,84
188,177,12,1,49,85
186,177,12,22,49,85
186,177,4,22,49,85
188,177,12,22,49,85
177,188,15,22,49,85
186,173,12,6,50,86
186,173,7,6,50,86
173,175,12,3,50,86
186,177,16,5,50,86
186,177,12,22,50,86
186,177,7,22,50,86
173,186,12,6,50,86
175,186,12,6,50,86
177,187,12,1,50,86
177,188,12,1,50,86
74,58,4,3,50,87
177,58,14,5,50,87
186,58,12,5,50,87
58,66,12,1,50,87
58,74,12,3,50,87
58,186,17,5,50,87
58,4,12,3,51,87
58,17,12,2,51,87
17,58,4,2,51,87
173,58,12,6,51,88
177,58,12,6,51,88
177,58,12,6,51,88
58,74,12,3,51,88
173,74,12,6,51,88
97,173,12,3,51,88
97,173,7,3,51,88
173,177,12,3,51,88
58,177,12,6,51,89
177,160,8,3,52,89
160,177,18,3,52,89
160,177,3,3,52,89
192,177,1,1,52,90
186,58,15,5,53,90
177,58,5,6,53,90
58,66,12,1,53,90
58,66,7,1,53,90
58,177,12,5,53,90
58,186,17,5,53,90
186,58,15,5,53,91
177,160,12,3,53,91
177,160,7,3,53,91
160,177,4,3,53,91
160,177,8,3,53,91
160,186,12,6,53,91
652,58,7,3,54,91
58,652,12,3,54,91
59,58,12,1,54,92
188,58,5,5,54,92
188,58,12,5,54,92
188,58,17,5,54,92
188,58,5,5,54,92
59,66,12,1,54,92
58,177,12,5,54,92
58,177,20,5,54,92
58,188,12,3,54,92
186,58,5,5,54,93
191,58,5,5,54,93
177,58,5,5,54,93
58,66,12,1,54,93
653,103,12,6,54,93
653,103,7,6,54,93
58,177,6,5,54,93
58,186,6,5,54,93
66,187,6,5,54,93
58,188,5,5,54,93
58,191,6,5,54,93
103,653,15,6,54,93
58,74,12,3,55,94
58,74,4,3,55,94
173,175,12,3,55,94
173,654,14,6,55,95
175,654,14,6,55,95
655,58,3,3,56,95
656,58,3,3,56,95
175,58,14,5,56,95
193,173,3,3,56,95
194,173,3,3,56,95
114,173,3,3,56,95
199,173,3,3,56,95
200,173,3,3,56,95
193,194,1,1,56,95
194,195,1,1,56,95
195,196,1,1,56,95
196,197,1,1,56,95
197,198,1,1,56,95
175,66,14,5,56,96
58,175,12,5,56,96
58,175,14,5,56,96
173,58,3,3,56,97
175,58,3,3,56,97
211,201,1,1,57,98
212,201,1,1,57,98
213,201,1,1,57,98
214,201,1,1,57,98
201,202,1,1,57,98
202,203,1,1,57,98
211,204,1,1,57,98
212,204,1,1,57,98
213,204,1,1,57,98
214,204,1,1,57,98
201,204,2,2,57,98
204,205,1,1,57,98
204,206,1,1,57,98
206,207,1,1,57,98
206,208,1,1,57,98
208,209,1,1,57,98
208,210,1,1,57,98
224,201,1,1,58,98
221,215,1,1,58,98
222,215,1,1,58,98
223,215,1,1,58,98
225,215,1,1,58,98
215,216,1,1,58,98
216,217,1,1,58,98
215,218,1,1,58,98
219,218,1,1,58,98
221,224,1,1,58,98
222,224,1,1,58,98
223,224,1,1,58,98
225,224,1,1,58,98
221,657,12,6,58,98
222,657,12,6,58,98
223,657,12,6,58,98
221,58,20,6,58,99
222,58,20,6,58,99
223,58,20,6,58,99
214,221,12,3,58,99
214,221,7,3,58,99
201,221,12,3,58,99
201,221,7,3,58,99
58,221,12,6,58,99
214,222,12,3,58,99
214,222,7,3,58,99
201,222,12,3,58,99
201,222,7,3,58,99
58,222,12,6,58,99
214,223,12,3,58,99
214,223,7,3,58,99
201,223,12,3,58,99
201,223,7,3,58,99
58,223,12,6,58,99
58,74,12,3,58,100
201,221,12,3,58,100
214,221,12,3,58,100
201,222,12,3,58,100
214,222,12,3,58,100
201,223,12,3,58,100
214,223,12,3,58,100
229,19,1,1,59,100
230,19,1,1,59,100
228,56,1,1,59,100
229,58,1,1,59,100
230,58,1,1,59,100
104,58,12,3,59,100
228,151,1,1,59,100
104,58,4,3,59,101
211,58,5,5,59,101
221,58,5,5,59,101
211,58,17,5,59,101
58,66,12,1,59,101
58,66,4,1,59,101
58,211,5,5,59,101
58,221,5,5,59,101
58,22,12,2,59,102
22,58,18,2,59,102
22,58,3,3,59,102
114,58,18,3,60,102
114,58,3,3,60,102
74,58,12,3,60,102
74,58,4,3,60,102
58,114,12,3,60,102
58,231,20,5,60,102
114,231,14,6,60,102
58,66,12,2,60,103
114,58,8,3,61,103
114,58,4,3,61,103
114,66,8,3,61,103
114,66,4,3,61,103
114,67,8,3,61,103
114,67,4,3,61,103
232,201,12,3,61,103
232,201,7,3,61,103
232,211,12,3,61,103
232,211,7,3,61,103
211,214,12,2,61,103
232,214,12,3,61,103
232,214,7,3,61,103
232,215,12,6,61,104
232,215,7,6,61,104
232,221,12,6,61,104
232,221,7,6,61,104
232,222,12,6,61,104
232,222,7,6,61,104
232,223,12,6,61,104
232,223,7,6,61,104
215,224,2,2,61,104
224,226,12,2,61,104
225,226,2,2,61,104
215,226,12,3,61,104
215,226,4,3,61,104
215,227,12,3,61,104
215,227,4,3,61,104
226,227,12,3,61,104
66,67,12,1,62,104
58,66,12,1,62,105
58,66,12,1,62,105
58,67,12,1,62,105
58,232,6,5,63,105
211,58,17,5,63,106
212,58,5,5,63,106
221,66,5,5,63,106
58,212,5,5,63,106
58,213,6,5,63,106
66,221,6,5,63,106
58,233,5,5,63,106
66,233,6,5,63,106
215,58,5,5,63,107
226,67,6,5,63,107
214,201,12,1,63,107
58,201,12,5,63,107
58,201,5,5,63,107
58,211,5,5,63,107
58,212,6,5,63,107
58,215,6,5,63,107
58,222,5,5,63,107
66,223,6,5,63,107
201,226,15,5,63,107
58,226,6,5,63,107
74,58,7,3,64,108
58,74,12,3,64,108
58,74,4,3,64,108
234,74,1,6,64,108
227,225,13,2,64,108
227,225,2,2,64,108
224,227,12,3,64,108
224,227,4,3,64,108
236,173,1,1,65,108
211,58,14,5,65,109
218,58,14,5,65,109
211,85,12,3,65,109
211,85,7,3,65,109
211,85,4,3,65,109
211,103,12,3,65,109
211,103,7,3,65,109
211,103,4,3,65,109
211,173,12,3,65,109
85,173,12,3,65,109
103,173,12,3,65,109
103,211,12,3,65,109
211,218,12,3,65,109
103,236,13,2,65,109
103,236,2,2,65,109
58,20,4,2,65,110
58,22,4,2,65,110
58,24,4,2,65,110
58,74,12,3,65,110
58,74,4,3,65,110
58,211,14,5,65,110
58,218,14,5,65,110
58,221,14,5,65,110
58,658,14,4,65,110
58,20,12,2,66,110
58,20,7,2,66,110
58,20,4,2,66,110
58,22,12,2,66,110
58,22,7,2,66,110
58,22,4,2,66,110
58,24,12,2,66,110
58,24,7,2,66,110
58,24,4,2,66,110
237,58,12,6,66,111
74,103,12,6,66,111
237,58,3,3,66,112
74,58,4,3,66,112
114,58,4,3,66,112
237,58,4,3,66,112
211,103,12,3,67,112
211,201,12,1,67,113
211,185,12,3,68,113
211,185,8,3,68,113
211,185,3,3,68,113
66,58,12,1,68,114
66,58,7,1,68,114
211,58,14,5,68,114
211,185,12,3,68,114
659,58,12,3,69,115
659,74,7,3,69,115
74,111,12,3,69,115
659,111,7,3,69,115
74,659,12,3,69,115
111,659,12,3,69,115
659,58,7,3,69,116
74,58,12,3,69,116
74,58,4,3,69,116
74,185,12,3,69,116
74,185,4,3,69,116
74,211,12,3,69,116
74,211,4,3,69,116
211,58,3,3,70,116
185,58,3,3,70,116
211,74,4,3,70,116
185,74,4,3,70,116
211,103,12,3,70,116
185,103,12,3,70,116
74,185,12,3,70,116
74,211,12,3,70,116
58,22,12,2,70,117
22,58,8,3,70,117
239,58,1,6,71,118
211,103,12,3,71,118
185,103,12,3,71,118
211,103,4,3,71,118
185,103,4,3,71,118
103,211,7,3,71,118
185,239,3,3,71,118
241,58,5,5,72,119
185,58,5,5,72,119
58,66,12,1,72,119
211,185,15,3,72,119
240,185,1,6,72,119
58,240,6,5,72,119
66,241,6,5,72,119
58,19,12,2,72,120
58,19,7,2,72,120
66,58,12,1,72,120
58,59,12,1,72,120
58,59,7,1,72,120
58,185,6,5,72,120
74,58,12,3,73,120
173,660,14,6,73,120
175,660,14,6,73,120
173,58,14,5,73,121
58,74,4,3,74,0
74,58,12,3,74,122
58,59,12,1,74,122
151,56,12,2,75,123
58,66,12,1,75,123
105,74,12,1,75,123
106,74,12,1,75,123
245,246,1,1,75,123
247,20,1,1,75,124
248,20,1,1,75,124
173,58,14,5,75,124
175,58,14,5,75,124
173,58,5,5,75,124
175,58,5,5,75,124
201,58,5,5,75,124
211,58,5,5,75,124
103,58,5,5,75,124
85,58,5,5,75,124
237,58,5,5,75,124
247,58,5,5,75,124
248,58,5,5,75,124
249,58,5,5,75,124
250,58,5,5,75,124
218,58,5,5,75,124
227,58,5,5,75,124
173,85,12,3,75,124
173,103,12,3,75,124
173,173,12,3,75,124
173,175,12,3,75,124
173,175,12,3,75,124
173,201,12,3,75,124
173,211,12,3,75,124
173,218,12,3,75,124
173,227,12,3,75,124
173,237,12,3,75,124
173,247,12,3,75,124
173,248,12,3,75,124
250,249,1,1,75,124
173,249,12,3,75,124
173,250,12,3,75,124
74,58,12,3,75,125
74,58,7,3,75,125
74,58,4,3,75,125
58,74,4,3,75,125
103,251,,4,76,125
227,173,12,3,77,126
58,227,6,5,77,126
247,58,5,5,77,127
248,58,5,5,77,127
58,59,12,1,77,127
103,173,12,3,77,127
58,247,6,5,77,127
58,248,6,5,77,127
58,249,5,5,77,127
58,19,12,2,77,128
58,19,4,2,77,128
59,19,15,2,77,128
173,59,12,6,77,128
211,173,12,3,77,129
253,175,1,1,77,129
211,175,12,3,77,129
253,254,1,1,77,129
254,255,1,1,77,129
59,19,14,5,78,129
229,58,9,1,78,129
230,58,9,1,78,129
661,59,12,6,78,129
661,59,7,6,78,129
151,74,12,3,78,129
153,74,12,3,78,129
155,74,12,3,78,129
156,74,12,3,78,129
157,74,12,3,78,129
158,74,12,3,78,129
159,74,12,3,78,129
104,59,12,3,78,130
661,74,12,6,78,130
661,74,7,6,78,130
74,104,12,1,78,130
